Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,591.162759035926,641.871479157539,637.165523187024,613.856689167623,578.466352941708,547.228110150363,556.30200240406,524.162880925404,502.115486913067,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68331762741,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5352.85741103671,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2408.68881482248,1764.97382982785,5455.85352874953,5592.25709916356,5499.58148704572,5493.02558996263,4177.89251546889,3946.44397689835,4044.27660039876,4114.71506136896,3948.34327892571,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21854.2468030614,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,947.704182085371,556.836318086553,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3289.64666408633,2973.59115979868,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7348.21294282384,10920.8426880891,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16726.9808079479,17790.309306815,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4333.48297312146,7708.10099605414,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14591.8633810541,11683.9496216363,10006.1489736082,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.854659491342,622.742139063498,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12307.3117378314,20620.7006259175,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751,28281.35048163,29007.6930034887,..,..,..
